biolink:related_to || related to || This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.
biolink:temporally_related_to || temporally related to || existence ends during or before
biolink:temporally_related_to || temporally related to || x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).
biolink:temporally_related_to || temporally related to || starts with
biolink:temporally_related_to || temporally related to || x starts with y if and only if x has part y and the time point at which x starts is equivalent to the time point at which y starts. Formally: α(y) = α(x) ∧ ω(y) < ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.
biolink:temporally_related_to || temporally related to || X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y).
biolink:temporally_related_to || temporally related to || t1 before t2 iff:=  t1 before_or_simulataneous_with t2  and not (t1 simultaeous_with t2)
biolink:temporally_related_to || temporally related to || X happens_during Y iff: (start(Y) before_or_simultaneous_with start(X)) AND (end(X) before_or_simultaneous_with end(Y))
biolink:temporally_related_to || temporally related to || x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).
biolink:temporally_related_to || temporally related to || existence ends during
biolink:temporally_related_to || temporally related to || t1 simultaneous_with t2 iff:=  t1 before_or_simultaneous_with t2  and not (t1 before t2)
biolink:temporally_related_to || temporally related to || x existence ends during or before y if and only if the time point at which x ends is before or equivalent to the time point at which y ends.
biolink:temporally_related_to || temporally related to || simultaneous with
biolink:temporally_related_to || temporally related to || happens during
biolink:temporally_related_to || temporally related to || ends with
biolink:is_sequence_variant_of || is sequence variant of || holds between a sequence variant and a nucleic acid entity
biolink:disease_has_basis_in || disease has basis in || disease has basis in development of
biolink:disease_has_basis_in || disease has basis in || disease has basis in accumulation of
biolink:disease_has_basis_in || disease has basis in || A relation that holds between a disease and an entity where the state of the entity has contribution to the disease.
biolink:contraindicated_in || contraindicated in || Holds between a substance, procedure, or activity and a medical condition or circumstance, where an authority has established that the substance, procedure, or activity should not be applied as an intervention in patients with the condition or circumstance because it can result in detrimental outcomes.
biolink:has_not_completed || has not completed || holds between an entity and a process that the entity is capable of, but has not completed
biolink:has_completed || has completed || holds between an entity and a process that the entity is capable of and has completed
biolink:in_linkage_disequilibrium_with || in linkage disequilibrium with || holds between two sequence variants, the presence of which are correlated in a population
biolink:develops_from || develops from || directly develops from
biolink:develops_from || develops from || x develops_in y if x is located in y whilst x is developing
biolink:develops_from || develops from || Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participate in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of x comes from y, and the start of x is coincident with or after the end of y.
biolink:develops_from || develops from || inverse of develops from
biolink:develops_from || develops from || develops from part of
biolink:develops_from || develops from || develops in
biolink:develops_from || develops from || This is the transitive form of the develops from relation
biolink:develops_from || develops from || develops into
biolink:develops_from || develops from || has developmental precursor
biolink:develops_from || develops from || x develops from y if and only if either (a) x directly develops from y or (b) there exists some z such that x directly develops from z and z develops from y
biolink:develops_from || develops from || x develops from part of y if and only if there exists some z such that x develops from z and z is part of y
biolink:in_taxon || in taxon || x is in taxon y if an only if y is an organism, and the relationship between x and y is one of: part of (reflexive), developmentally preceded by, derives from, secreted by, expressed.
biolink:in_taxon || in taxon || x only in taxon y if and only if x is in taxon y, and there is no other organism z such that y!=z a and x is in taxon z.
biolink:in_taxon || in taxon || connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
biolink:in_taxon || in taxon || life cycle stage of
biolink:in_taxon || in taxon || only in taxon
biolink:in_taxon || in taxon || Connects a biological entity to its taxon of origin.
biolink:has_molecular_consequence || has molecular consequence || connects a sequence variant to a class describing the molecular consequence. E.g.  SO:0001583
biolink:is_missense_variant_of || is missense variant of || holds between a gene  and a sequence variant, such the sequence variant results in a different amino acid sequence but where the length is preserved.
biolink:is_synonymous_variant_of || is synonymous variant of || holds between a sequence variant and a gene, such the sequence variant is in the coding sequence of the gene, but results in the same amino acid sequence
biolink:is_nonsense_variant_of || is nonsense variant of || holds between a sequence variant and a gene, such the sequence variant results in a premature stop codon
biolink:is_frameshift_variant_of || is frameshift variant of || holds between a sequence variant and a gene, such the sequence variant causes a disruption of the translational reading frame, because the number of nucleotides inserted or deleted is not a multiple of three.
biolink:is_splice_site_variant_of || is splice site variant of || holds between a sequence variant and a gene, such the sequence variant is in the canonical splice site of one of the gene's exons.
biolink:is_nearby_variant_of || is nearby variant of || holds between a sequence variant and a gene sequence that the variant is genomically close to.
biolink:is_non_coding_variant_of || is non coding variant of || holds between a sequence variant and a gene, where the variant does not affect the coding sequence
biolink:precedes || precedes || causally upstream of
biolink:precedes || precedes || X immediately_precedes_Y iff: end(X) simultaneous_with start(Y)
biolink:precedes || precedes || immediately causally upstream of
biolink:precedes || precedes || c acts upstream of p if and only if c enables some f that is involved in p' and p' occurs chronologically before p, is not part of p, and affects the execution of p. c is a material entity and f, p, p' are processes.
biolink:precedes || precedes || c acts upstream of or within p if c is enables f, and f is causally upstream of or within p. c is a material entity and p is an process.
biolink:precedes || precedes || transforms into
biolink:precedes || precedes || acts upstream of
biolink:precedes || precedes || acts upstream of or within
biolink:precedes || precedes || affects
biolink:precedes || precedes || immediately precedes
biolink:precedes || precedes || p is immediately causally upstream of q iff p is causally upstream of q, and the end of p is coincident with the beginning of q.
biolink:precedes || precedes || x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.
biolink:precedes || precedes || p is causally upstream of q iff p is causally related to q, the end of p precedes the end of q, and p is not an occurrent part of q.
biolink:precedes || precedes || holds between two processes, where one completes before the other begins
biolink:preceded_by || preceded by || x developmentally replaces y if and only if there is some developmental process that causes x to move or to cease to exist, and for the site that was occupied by x to become occupied by y, where y either comes into existence in this site or moves to this site from somewhere else
biolink:preceded_by || preceded by || X immediately_preceded_by Y iff: end(X) simultaneous_with start(Y)
biolink:preceded_by || preceded by || developmentally replaces
biolink:preceded_by || preceded by || immediately preceded by
biolink:preceded_by || preceded by || transforms from
biolink:preceded_by || preceded by || x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.
biolink:preceded_by || preceded by || holds between two processes, where the other is completed before the one begins
biolink:has_mode_of_inheritance || has mode of inheritance || Relates a disease or phenotypic feature to its observed genetic segregation and assumed associated underlying DNA manifestation (i.e. autosomal, sex or mitochondrial chromosome).
biolink:is_metabolite_of || is metabolite of || holds between two molecular entities in which the first one is derived from the second one as a product of metabolism
biolink:has_metabolite || has metabolite || holds between two molecular entities in which the second one is derived from the first one as a product of metabolism
biolink:is_input_of || is input of || inverse of has input
biolink:is_input_of || is input of || input of
biolink:is_output_of || is output of || output of
biolink:is_output_of || is output of || inverse of has output
biolink:is_output_of || is output of || formed as result of
biolink:catalyzes || catalyzes || enables
biolink:catalyzes || catalyzes || c enables p iff c is capable of p and c acts to execute p.
biolink:actively_involved_in || actively involved in || c involved_in p if and only if c enables some process p', and p' is part of p
biolink:actively_involved_in || actively involved in || q towards e2 if and only if q is a relational quality such that q inheres-in some e, and e != e2 and q is dependent on e2
biolink:actively_involved_in || actively involved in || involved in
biolink:actively_involved_in || actively involved in || holds between a continuant and a process or function, where the continuant actively contributes to part or all of the process or function it realizes
biolink:enables || enables || holds between a physical entity and a process, where the physical entity executes the process
biolink:enables || enables || c enables p iff c is capable of p and c acts to execute p.
biolink:capable_of || capable of || holds between a physical entity and process or function, where the continuant alone has the ability to carry out the process or function.
biolink:capable_of || capable of || A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process.
biolink:capable_of || capable of || causal agent in process
biolink:capable_of || capable of || A relationship between a material entity and a process where the material entity has some causal role that influences the process
biolink:has_input || has input || has primary input
biolink:has_input || has input || holds between a process and a continuant, where the continuant is an input into the process
biolink:has_input || has input || p has input c iff: p is a process, c is a material entity, c is a participant in p, c is present at the start of p, and the state of c is modified during p.
biolink:has_input || has input || p has primary input c if (a) p has input c and (b) the goal of process is to modify, consume, or transform c.
biolink:has_input || has input || results in disassembly of
biolink:has_output || has output || results in assembly of
biolink:has_output || has output || p has output c iff c is a participant in p, c is present at the end of p, and c is not present in the same state at the beginning of p.
biolink:has_output || has output || The relationship that links an entity with the process that results in the formation and shaping of that entity over time from an immature to a mature state.
biolink:has_output || has output || p has primary output c if (a) p has output c and (b) the goal of process is to modify, produce, or transform c.
biolink:has_output || has output || results in development of
biolink:has_output || has output || results in formation of anatomical entity
biolink:has_output || has output || results in morphogenesis of
biolink:has_output || has output || has primary output
biolink:has_output || has output || holds between a process and a continuant, where the continuant is an output of the process
biolink:has_output || has output || The relationship that links an entity with a process that results in the progression of the entity over time that is independent of changes in it's shape and results in an end point state of that entity.
biolink:has_output || has output || results in maturation of
biolink:has_output || has output || p 'results in development of' c if and only if p is a developmental process and p results in the state of c changing from its initial state as a primordium or anlage through its mature state and to its final state.
biolink:enabled_by || enabled by || inverse of enables
biolink:enabled_by || enabled by || holds between a process and a physical entity, where the physical entity executes the process
biolink:consumes || consumes || has primary input
biolink:consumes || consumes || p has primary input c if (a) p has input c and (b) the goal of process is to modify, consume, or transform c.
biolink:has_part || has part || has constitutional part
biolink:has_part || has part || contains
biolink:has_part || has part || A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.
biolink:has_part || has part || has member is a mereological relation between a collection and an item.
biolink:has_part || has part || x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.
biolink:has_part || has part || has member
biolink:has_part || has part || Paraphrase of elucidation: a relation between a process and a realizable entity, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
biolink:has_part || has part || composed primarily of
biolink:has_part || has part || has component
biolink:has_part || has part || holds between wholes and their parts (material entities or processes)
biolink:has_part || has part || has subsequence
biolink:has_part || has part || Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886], and that plasma membrane has p as part.
biolink:has_part || has part || obsolete contains
biolink:has_part || has part || disease has major feature
biolink:has_part || has part || has skeleton
biolink:has_part || has part || has plasma membrane part
biolink:has_part || has part || a core relation that holds between a whole and its part
biolink:has_part || has part || w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type.
biolink:has_part || has part || x has subsequence y iff all of the sequence parts of y are sequence parts of x
biolink:has_part || has part || realizes
biolink:part_of || part of || tributary of
biolink:part_of || part of || layer part of
biolink:part_of || part of || proximalmost part of
biolink:part_of || part of || bounding layer of
biolink:part_of || part of || X proximalmost part of Y <=> X is in proximal side of Y and X is adjacent to the proximal boundary of Y
biolink:part_of || part of || placeholder relation. X = 'subdivision of A' and subdivision_of some B means that X is the mereological sum of A and B
biolink:part_of || part of || is substituent group from
biolink:part_of || part of || skeleton of
biolink:part_of || part of || a core relation that holds between a part and its whole
biolink:part_of || part of || A relationship that applies between a continuant and its outer, bounding layer.  Examples include the relationship between a multicellular organism and its integument, between an animal cell and its plasma membrane, and between a membrane bound organelle and its outer/bounding membrane.
biolink:part_of || part of || x is a branching part of y if and only if x is part of y and x is connected directly or indirectly to the main stem of y
biolink:part_of || part of || luminal space of
biolink:part_of || part of || preaxialmost part of
biolink:part_of || part of || X distalmost part of Y <=> X is in distal side of Y and X is adjacent to the distal boundary of Y
biolink:part_of || part of || subdivision of
biolink:part_of || part of || constitutional part of
biolink:part_of || part of || distalmost part of
biolink:part_of || part of || regional part of
biolink:part_of || part of || x lumen_of y iff x is the space or substance that is part of y and does not cross any of the inner membranes or boundaries of y that is maximal with respect to the volume of the convex hull.
biolink:part_of || part of || x tributary_of y if and only if x a channel for the flow of a substance into y, where y is larger than x. If x and y are hydrographic features, then y is the main stem of a river, or a lake or bay, but not the sea or ocean. If x and y are anatomical, then y is a vein.
biolink:part_of || part of || inverse of has skeleton
biolink:part_of || part of || is member of is a mereological relation between a item and a collection.
biolink:part_of || part of || member of
biolink:part_of || part of || holds between parts and wholes (material entities or processes)
biolink:part_of || part of || s is luminal space of x iff s is lumen_of x and s is an immaterial entity
biolink:part_of || part of || trunk_part_of
biolink:part_of || part of || related developmental entity of
biolink:part_of || part of || is part of
biolink:part_of || part of || part of progression of disease
biolink:part_of || part of || postaxialmost part of
biolink:part_of || part of || branching part of
biolink:part_of || part of || X outer_layer_of Y iff: . X :continuant that bearer_of some PATO:laminar . X part_of Y . exists Z :surface . X has_boundary Z . Z boundary_of Y  has_boundary: http://purl.obolibrary.org/obo/RO_0002002 boundary_of: http://purl.obolibrary.org/obo/RO_0002000
biolink:food_component_of || food component of || holds between a one or more chemical entities present in food, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:is_active_ingredient_of || is active ingredient of || holds between a molecular entity and a drug, in which the former is a part of the latter, and is a biologically active component
biolink:is_excipient_of || is excipient of || holds between a molecular entity and a drug in which the former is a part of the latter, and is a biologically inactive component
biolink:nutrient_of || nutrient of || holds between a one or more chemical entities present in food, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:has_plasma_membrane_part || has plasma membrane part || Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886], and that plasma membrane has p as part.
biolink:has_food_component || has food component || holds between food and one or more chemical entities composing it, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:has_active_ingredient || has active ingredient || holds between a drug and a molecular entity in which the latter is a part of the former, and is a biologically active component
biolink:has_excipient || has excipient || holds between a drug and a molecular entities in which the latter is a part of the former, and is a biologically inactive component
biolink:has_variant_part || has variant part || holds between a nucleic acid entity and a nucleic acid entity that is a sub-component of it
biolink:has_nutrient || has nutrient || one or more nutrients which are growth factors for a living organism
biolink:homologous_to || homologous to || This broad definition encompasses all the working definitions proposed so far in the literature.
biolink:homologous_to || homologous to || holds between two biological entities that have common evolutionary origin
biolink:homologous_to || homologous to || sexually_homologous_to
biolink:homologous_to || homologous to || in homology relationship with
biolink:homologous_to || homologous to || Similarity that results from common evolutionary origin.
biolink:chemically_similar_to || chemically similar to || is conjugate base of
biolink:chemically_similar_to || chemically similar to || has functional parent
biolink:chemically_similar_to || chemically similar to || is tautomer of
biolink:chemically_similar_to || chemically similar to || is enantiomer of
biolink:chemically_similar_to || chemically similar to || has parent hydride
biolink:chemically_similar_to || chemically similar to || holds between one small molecule entity and another that it approximates for purposes of scientific study, in virtue of its exhibiting similar features of the studied entity.
biolink:chemically_similar_to || chemically similar to || is conjugate acid of
biolink:paralogous_to || paralogous to || Historical homology that involves genes that diverged after a duplication event.
biolink:paralogous_to || paralogous to || a homology relationship that holds between entities (typically genes) that diverged after a duplication event.
biolink:paralogous_to || paralogous to || in paralogy relationship with
biolink:orthologous_to || orthologous to || a homology relationship between entities (typically genes) that diverged after a speciation event.
biolink:orthologous_to || orthologous to || The term is sometimes also used for anatomical structures.
biolink:orthologous_to || orthologous to || in orthology relationship with
biolink:orthologous_to || orthologous to || Historical homology that involves genes that diverged after a speciation event.
biolink:xenologous_to || xenologous to || Historical homology that is characterized by an interspecies (horizontal) transfer since the common ancestor.
biolink:xenologous_to || xenologous to || in xenology relationship with
biolink:xenologous_to || xenologous to || The term is sometimes also used for anatomical structures (e.g. in case of a symbiosis).
biolink:xenologous_to || xenologous to || a homology relationship characterized by an interspecies (horizontal) transfer since the common ancestor.
biolink:expresses || expresses || y expresses x if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and x was transcribed from a gene as part of the gene expression process (iii) x is a mature gene product (protein or RNA), and x was translated or otherwise processed from a transcript that was transcribed as part of the gene expression process.
biolink:expresses || expresses || holds between an anatomical entity and gene or gene product that is expressed there
biolink:expressed_in || expressed in || holds between a gene or gene product and an anatomical entity in which it is expressed
biolink:expressed_in || expressed in || x expressed in y if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and the transcription of x is part of the gene expression process (iii) x is a mature gene product such as a protein, and x was translated or otherwise processes from a transcript that was transcribed as part of this gene expression process
biolink:treated_by || treated by || Inverse of 'is substance that treats'
biolink:treated_by || treated by || disease responds to
biolink:treated_by || treated by || is treated by substance
biolink:treats || treats || Holds between an intervention (substance, procedure, or activity) and a medical condition (disease or phenotypic feature), and states that the intervention is able to ameliorate, stabilize, or cure the condition or delay, prevent, or reduce the risk of it manifesting in the first place. ‘Treats’ edges should be asserted (knowledge_level: assertion) only in cases where there is strong supporting evidence - i.e. the intervention is approved for the condition, passed phase 3 or in phase 4 trials for the condition, or is an otherwise established  treatment in the medical community (e.g. a widely-accepted or formally recommended  off-label use). In the absence of such evidence, weaker predicates should be used in  asserted edges (e.g. ‘in clinical trials for’ or ‘beneficial in models of’). ‘Treats’ edges based on weaker or indirect forms of evidence can however be created as predictions  (knowledge_level: prediction) and should point to the more foundational asserted edges that  support them.
biolink:treats || treats || c is a substance that treats d if c is a material entity (such as a small molecule or compound) and d is a pathological process, phenotype or disease, and c is capable of some activity that negative regulates or decreases the magnitude of d.
biolink:treats || treats || is substance that treats
biolink:in_clinical_trials_for || in clinical trials for || Holds between an intervention and a medical condition, and reports that a clinical trial  is being or has been performed in human patients to test the potential of the intervention to treat the medical condition (e.g. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:in_preclinical_trials_for || in preclinical trials for || Holds between an  substance, procedure, or activity and a medical condition, and reports that a pre-clinical study has been performed specifically to test the potential of the  substance, procedure, or activity to treat the medical condition  (i.e. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:beneficial_in_models_for || beneficial in models for || Holds between an  substance, procedure, or activity and a medical condition, and reports that the  substance, procedure, or activity has been shown to be effective in alleviating, preventing, or delaying symptoms/ phenotypes associated with a disease, in a model system for that disease (e.g. a mouse, fly, cell line, etc).
biolink:ameliorates_condition || ameliorates condition || Genetic variations can span any level of granularity from a full genome or genotype to an individual gene  or sequence alteration.  These variations can be represented at the physical level (DNA/RNA macromolecules or their parts, as in the ChEBI ontology and Molecular Sequence Ontology) or at the abstract level (generically dependent continuant sequence features that are carried by these macromolecules, as in the Sequence Ontology and Genotype Ontology).  The causal relations in this hierarchy can be used in linking either physical or abstract genetic variations to phenotypes or diseases they cause or contribute to.   Environmental exposures include those imposed by natural environments, experimentally applied conditions, or clinical interventions.
biolink:ameliorates_condition || ameliorates condition || Holds between an entity and an existing medical condition (disease or phenotypic feature) where the entity is able to ameliorate symptoms, stabilize progression, or cure the condition.
biolink:ameliorates_condition || ameliorates condition || A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the presence of the entity reduces or eliminates some or all aspects of the condition.
biolink:preventative_for_condition || preventative for condition || Holds between a substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the  substance, procedure, or activity is able to prevent it manifesting in the first place.
biolink:predisposes_to_condition || predisposes to condition || Holds between two entities where the presence or application of one increases the chance that the other will come to be.
biolink:exacerbates_condition || exacerbates condition || A relationship between an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) and a condition (a phenotype or disease), where the presence of the entity worsens some or all aspects of the condition.
biolink:exacerbates_condition || exacerbates condition || Holds between a substance, procedure, or activity and an existing medical condition (disease or phenotypic  feature) where the substance, procedure, or activity worsens some or all aspects of the condition.
biolink:caused_by || caused by || process has causal agent
biolink:caused_by || caused by || A relation that holds between the disease and a material entity where the physical basis of the disease is a disorder of that material entity that affects its function.
biolink:caused_by || caused by || disease has basis in
biolink:caused_by || caused by || has allergic trigger
biolink:caused_by || caused by || disease has basis in dysfunction of
biolink:caused_by || caused by || A relationship between a realizable entity R (e.g. function or disposition) and a material entity M where R is realized in response to a process that has an input stimulus of M.
biolink:caused_by || caused by || realized in response to
biolink:caused_by || caused by || A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.
biolink:caused_by || caused by || realized in response to stimulus
biolink:caused_by || caused by || holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other
biolink:caused_by || caused by || triggered by process
biolink:caused_by || caused by || Inverse of 'causal agent in process'
biolink:caused_by || caused by || r 'realized in response to' s iff, r is a realizable (e.g. a plant trait such as responsivity to drought), s is an environmental stimulus (a process), and s directly causes the realization of r.
biolink:causes || causes || developmentally induced by
biolink:causes || causes || holds between two entities where the occurrence, existence, or activity of one causes the occurrence or generation of the other
biolink:causes || causes || t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor material anatomical entity type T to T', where T' develops_from T
biolink:causes || causes || s determined by f if and only if s is a type of system, and f is a material entity that is part of s, such that f exerts a strong causal influence on the functioning of s, and the removal of f would cause the collapse of s.
biolink:causes || causes || The relationship that links a specified entity with the process that results in an unspecified entity acquiring the features and characteristics of the specified entity
biolink:causes || causes || s 'determined by part of' w if and only if there exists some f such that (1) s 'determined by' f and (2) f part_of w, or f=w.
biolink:causes || causes || A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some causal role for the condition.
biolink:causes || causes || causes condition
biolink:causes || causes || has material basis in gain of function germline mutation in
biolink:causes || causes || disease triggers
biolink:causes || causes || results in acquisition of features of
biolink:causes || causes || determined by part of
biolink:causes || causes || determined by
biolink:causes || causes || disease causes feature
biolink:in_pathway_with || in pathway with || holds between two genes or gene products that are part of in the same biological pathway
biolink:in_complex_with || in complex with || holds between two genes or gene products that are part of (or code for products that are part of) in the same macromolecular complex
biolink:in_cell_population_with || in cell population with || holds between two genes or gene products that are expressed in the same cell type or population
biolink:colocalizes_with || colocalizes with || a colocalizes_with b if and only if  a is transiently or peripherally associated with b[GO].
biolink:colocalizes_with || colocalizes with || holds between two entities that are observed to be located in the same place.
biolink:response_affected_by || response affected by || holds between two chemical entities where the susceptibility of a biological entity or system (e.g. an organism, cell, cellular component, macromolecular machine mixin, biological or pathological process) of one is affected by the action of the other.
biolink:disrupted_by || disrupted by || describes a relationship where the structure, function, or occurrence of one entity is degraded or interfered with by another.
biolink:regulates || regulates || molecularly controls
biolink:regulates || regulates || A more specific form of affects, that implies the effect results from a biologically evolved control mechanism. Gene-affects-gene relationships will (almost) always involve regulation.  Exogenous/environmental chemical-affects-gene relationships are not cases of regulation in this definition. Instead these would be captured using the 'affects' predicate, or possibly one of the 'interacts with' predicates depending on the nature of the interaction.
biolink:regulates || regulates || directly regulates activity of
biolink:regulates || regulates || The entity A, immediately upstream of the entity B, has an activity that regulates an activity performed by B. For example, A and B may be gene products and binding of B by A regulates the kinase activity of B.  A and B can be physically interacting but not necessarily. Immediately upstream means there are no intermediate entity between A and B.
biolink:disrupts || disrupts || A relationship between a disease and a process where the disease process disrupts the execution of the process.
biolink:disrupts || disrupts || disease causes disruption of
biolink:disrupts || disrupts || describes a relationship where one entity degrades or interferes with the structure, function, or occurrence of another.
biolink:disrupts || disrupts || disease causes dysfunction of
biolink:has_adverse_event || has adverse event || An untoward medical occurrence in a patient or clinical investigation subject that happens during treatment with a therapeutic agent. Adverse events may be caused by something other than the drug or therapy being given and may include abnormal laboratory finding, symptoms, or diseases temporally associated with the treatment, whether or not considered related to the treatment. Adverse events are unintended effects that occur when a medication is administered correctly.
biolink:has_side_effect || has side effect || An unintended, but predictable, secondary effect shown to be correlated with a therapeutic agent, drug or treatment. Side effects happen at normal, recommended doses or treatments, and are unrelated to the intended purpose of the medication.
biolink:increases_response_to || increases response to || holds between two chemical entities where the action or effect of one increases the susceptibility of a biological entity or system (e.g. an organism, cell, cellular component, macromolecular machine mixin, biological or pathological process) to the other
biolink:decreases_response_to || decreases response to || holds between two chemical entities where the action or effect of one decreases the susceptibility of a biological entity or system (e.g. an organism, cell, cellular component, macromolecular machine mixin, biological or pathological process) to the other
biolink:physically_interacts_with || physically interacts with || adheres to
biolink:physically_interacts_with || physically interacts with || holds between two entities that make physical contact as part of some interaction. does not imply a causal relationship.
biolink:genetically_interacts_with || genetically interacts with || holds between two genes whose phenotypic effects are dependent on each other in some way - such that their combined phenotypic effects are the result of some interaction between the activity of their gene products. Examples include epistasis and synthetic lethality.
biolink:gene_fusion_with || gene_fusion_with || holds between two independent genes that have fused through translocation, interstitial deletion, or chromosomal inversion to form a new, hybrid gene. Fusion genes are often implicated in various neoplasms and cancers.
biolink:genetic_neighborhood_of || genetic_neighborhood_of || holds between two genes located nearby one another on a chromosome.
biolink:directly_physically_interacts_with || directly physically interacts with || A causal mechanism mediated by a direct contact between the effector and target entities (this contact may be weak or strong, transient or stable).
biolink:directly_physically_interacts_with || directly physically interacts with || molecularly interacts with
biolink:directly_physically_interacts_with || directly physically interacts with || An interaction relationship in which the two partners are molecular entities that directly physically interact with each other for example via a stable binding interaction or a brief interaction during which one modifies the other.
biolink:provider || provider || person, group, organization or project that provides a piece of information (e.g. a knowledge association).
biolink:acts_upstream_of_positive_effect || acts upstream of positive effect || c 'acts upstream of, positive effect' p if c is enables f, and f is causally upstream of p, and the direction of f is positive
biolink:acts_upstream_of_positive_effect || acts upstream of positive effect || acts upstream of, positive effect
biolink:acts_upstream_of_negative_effect || acts upstream of negative effect || c 'acts upstream of, negative effect' p if c is enables f, and f is causally upstream of p, and the direction of f is negative
biolink:acts_upstream_of_negative_effect || acts upstream of negative effect || acts upstream of, negative effect
biolink:acts_upstream_of_or_within || acts upstream of or within || affects
biolink:acts_upstream_of_or_within || acts upstream of or within || c acts upstream of or within p if c is enables f, and f is causally upstream of or within p. c is a material entity and p is an process.
biolink:acts_upstream_of_or_within_positive_effect || acts upstream of or within positive effect || acts upstream of or within, positive effect
biolink:acts_upstream_of_or_within_negative_effect || acts upstream of or within negative effect || acts upstream of or within, negative effect
biolink:associated_with_likelihood_of || associated with likelihood of || A a relationship that holds between two concepts represented by variables for which a statistical dependence is demonstrated, wherein the state or value of one variable predicts the future state or value of the other.  E.g. the statement “An Atrial Fibrillation (Afib) diagnosis is associated with likelihood of a Myocardial Infraction (MI) diagnosis” asserts that the state of having Afib is associated with an increased or decreased likelihood that a patient will later exhibit MI.
biolink:associated_with_sensitivity_to || associated with sensitivity to || A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of sensitivity to treatment by the chemical.
biolink:associated_with_resistance_to || associated with resistance to || A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of resistance to treatment by the chemical.
biolink:correlated_with || correlated with || A relationship that holds between two entities, where the entities exhibit a statistical dependence relationship. The entities may be statistical variables, or they may be other kinds of entities such as diseases, chemical entities or processes.
biolink:correlated_with || correlated with || A relationship that holds between two concepts represented by variables for which a statistical dependence is demonstrated using a correlation analysis method.
biolink:positively_correlated_with || positively correlated with || A relationship that holds between two concepts represented by variables for which a statistical correlation is demonstrated, wherein variable values move together in the same direction (i.e. increased in one or presence of one correlates with an increase or presence of the other).
biolink:negatively_correlated_with || negatively correlated with || A relationship that holds between two concepts represented by variables for which a statistical correlation is demonstrated, wherein variable values move in opposite directions (i.e. increased in one or presence of one correlates with a decrease or absence of the other).
biolink:occurs_together_in_literature_with || occurs together in literature with || holds between two entities where their co-occurrence is correlated by counts of publications in which both occur, using some threshold of occurrence as defined by the edge provider.
biolink:coexpressed_with || coexpressed with || holds between any two genes or gene products, in which both are generally expressed within a single defined experimental context.
